n,m,l,S,mse_full,nonlinear_mse_decrease,pct_nonlinear_mse_decrease
64,16,4,0.9,0.0019465342712402345,0.009493406524658203,0.8298475222932862
64,16,4,0.95,0.00030037620067596433,0.0041151125383377075,0.9319721511184146
64,32,1,0.85,0.0034333721160888673,0.0,0.0
64,32,1,0.9,0.0015380627059936524,0.0,0.0
64,32,1,0.95,0.0006308302783966064,0.0,0.0
64,32,2,0.85,0.001276794490814209,0.0021565776252746582,0.6281223101827156
64,32,2,0.9,0.0004318218803405762,0.0011062408256530762,0.7192429940224048
64,32,2,0.95,6.94503104686737e-05,0.0005613799679279328,0.8899065044163751
64,32,3,0.85,0.0004514121341705322,0.002981959981918335,0.868522222786396
64,32,3,0.9,0.0001591265296936035,0.0013789361763000489,0.8965409348568781
64,32,3,0.95,2.2991644740104676e-05,0.0006078386336565017,0.9635533589184352
64,32,4,0.85,0.0002975186395645142,0.003135853476524353,0.9133450644133986
64,32,4,0.9,0.00010627772092819214,0.0014317849850654604,0.9309015682429331
64,32,4,0.95,1.4148096144199372e-05,0.0006166821822524071,0.9775722620985159
128,2,1,0.85,0.0436448876953125,0.0,0.0
128,2,1,0.9,0.03018796142578125,0.0,0.0
128,2,1,0.95,0.015699224548339843,0.0,0.0
128,2,2,0.85,0.0399243603515625,0.003720527343750002,0.08524543286084775
128,2,2,0.9,0.02657762939453125,0.00361033203125,0.11959509223987179
128,2,2,0.95,0.013183181457519531,0.002516043090820312,0.16026543751082137
128,2,3,0.85,0.03796843933105469,0.005676448364257812,0.13005986872701858
128,2,3,0.9,0.0251741357421875,0.005013825683593751,0.1660869249459098
128,2,3,0.95,0.011865726928710938,0.0038334976196289054,0.2441838835940651
128,2,4,0.85,0.036828080444335935,0.006816807250976567,0.15618798926841318
128,2,4,0.9,0.024474407348632814,0.005713554077148436,0.189265979128651
128,2,4,0.95,0.011285932922363281,0.004413291625976562,0.28111526224671124
128,4,1,0.85,0.041382828369140624,0.0,0.0
128,4,1,0.9,0.028512538452148437,0.0,0.0
128,4,1,0.95,0.01426422821044922,0.0,0.0
128,4,2,0.85,0.03633023986816406,0.0050525885009765625,0.12209384182025369
128,4,2,0.9,0.02439179931640625,0.004120739135742187,0.1445237554929693
128,4,2,0.95,0.010937617797851563,0.0033266104125976564,0.23321348786054596
128,4,3,0.85,0.03259393005371094,0.008788898315429686,0.21238031961062404
128,4,3,0.9,0.020816727905273436,0.007695810546875001,0.2699096946345413
128,4,3,0.95,0.008709104309082031,0.005555123901367188,0.3894444073250173
128,4,4,0.85,0.030671790771484374,0.01071103759765625,0.2588280699934837
128,4,4,0.9,0.019139390563964843,0.009373147888183594,0.3287377552831436
128,4,4,0.95,0.008166861877441407,0.006097366333007812,0.42745855177367426
128,8,1,0.85,0.038242210693359376,0.0,0.0
128,8,1,0.9,0.02599123718261719,0.0,0.0
128,8,1,0.95,0.0123346435546875,0.0,0.0
128,8,2,0.85,0.03117791259765625,0.007064298095703126,0.1847251497134243
128,8,2,0.9,0.019254178466796876,0.006737058715820313,0.259205003151063
128,8,2,0.95,0.007755803680419922,0.004578839874267578,0.3712178510847599
