n,m,l,S,nonlinear_gain,linearity_score,mse_full,mse_linear,gain_mean,gain_std,steps_used,steps_mean,converged,n_converged,n_seeds,n_runs
32,16,1,0.95,0.0,1.0,0.0014426931738853455,0.0014426931738853455,0.0,0.0,8000,8000.0,True,12,12,1
32,16,2,0.85,0.9217276573181152,0.8247136473655701,0.0013451530830934644,0.017185665667057037,0.828197781700227,0.24408670051561762,101823,73538.66666666667,True,45,45,2
32,16,2,0.9,0.9967697262763977,0.9129939079284668,0.0004149080195929855,0.12844812870025635,0.8717777500549952,0.22379343979714303,101823,73538.66666666667,True,45,45,2
32,16,2,0.95,0.9528608322143555,0.9776486158370972,0.00011550499039003626,0.0024504989851266146,0.7319039550092485,0.2971193783894826,101823,73538.66666666667,True,45,45,2
32,16,3,0.85,0.9688881039619446,0.8300620913505554,0.0004169567546341568,0.013402163051068783,0.770491350889206,0.23054385548631845,101823,84852.4,True,75,75,2
32,16,3,0.9,0.9846240282058716,0.8854585886001587,0.0001265301398234442,0.008229753002524376,0.5894624153835079,0.44634304830139276,101823,84852.4,True,75,75,2
32,16,3,0.95,0.9740533828735352,0.9872085452079773,2.3084759959601797e-05,0.0008900768007151783,0.512100751837056,0.4601241174570522,101823,84852.4,True,75,75,2
32,16,4,0.85,0.975418746471405,0.8117793798446655,0.00029435617034323514,0.011975256726145744,0.5758120928443206,0.44652742844971977,101823,90755.21739130435,True,115,115,3
32,16,4,0.9,0.990791916847229,0.8768554925918579,7.051701686577871e-05,0.007659195456653833,0.48348331656064686,0.43014041167579076,101823,90755.21739130435,True,115,115,3
32,16,4,0.95,0.9867740273475647,0.9738659262657166,1.2469173270801548e-05,0.0009435270330868661,0.414024922994674,0.43686637869403194,101823,90755.21739130435,True,115,115,3
64,2,1,0.85,0.0,1.0,0.042306844145059586,0.042306844145059586,0.0,0.0,8000,8000.0,True,12,12,1
64,2,1,0.9,0.0,1.0,0.029149996116757393,0.029149996116757393,0.0,0.0,8000,8000.0,True,12,12,1
64,2,1,0.95,0.0,1.0,0.014665855094790459,0.014665855094790459,0.0,0.0,8000,8000.0,True,12,12,1
64,2,2,0.85,0.8091867566108704,0.642041802406311,0.03690146282315254,0.19339051842689514,0.3525904539753409,0.21413183622418722,144000,91058.82352941176,True,34,34,2
64,2,2,0.9,0.38574105501174927,0.6325536966323853,0.023567458614706993,0.03836730867624283,0.36295660519424605,0.2681391140134911,144000,91058.82352941176,True,34,34,2
64,2,2,0.95,0.4056291878223419,0.6659291982650757,0.010433630086481571,0.017554081976413727,0.35663862918552597,0.15524196049223984,144000,96631.57894736843,True,38,38,2
64,2,3,0.85,0.44271203875541687,0.4749789237976074,0.0313497856259346,0.056254204362630844,0.4938398693737231,0.15986596111866774,144000,96631.57894736843,True,38,38,2
64,2,3,0.9,0.49851521849632263,0.45923322439193726,0.019767185673117638,0.0394173301756382,0.5973872048290152,0.17761204520133234,144000,96631.57894736843,True,38,38,2
64,2,3,0.95,0.5889700055122375,0.505350649356842,0.008280744776129723,0.020146341994404793,0.5701900694105361,0.0670123454633689,144000,104000.0,True,45,45,2
64,2,4,0.85,0.5122543573379517,0.33307284116744995,0.028821032494306564,0.059090305119752884,0.47173331606955754,0.09692605880501694,144000,101142.85714285714,True,42,42,2
64,2,4,0.9,0.5392314791679382,0.5894317030906677,0.018445834517478943,0.0400327704846859,0.5566762075537727,0.1239934013914454,144000,101142.85714285714,True,42,42,2
64,2,4,0.95,0.6415382027626038,0.5838358402252197,0.008068231865763664,0.022507943212985992,0.36042382092354963,0.2772397632183126,24000,122823.5294117647,True,85,85,3
64,4,1,0.85,0.0,1.0,0.03853996470570564,0.03853996470570564,0.0,0.0,8000,8000.0,True,12,12,1
64,4,1,0.9,0.0,1.0,0.026090314611792564,0.026090314611792564,0.0,0.0,8000,8000.0,True,12,12,1
64,4,1,0.95,0.0,1.0,0.011962433345615864,0.011962433345615864,0.0,0.0,8000,8000.0,True,12,12,1
64,4,2,0.85,0.9818474054336548,0.6796422004699707,0.03100070171058178,1.707786202430725,0.9054080931579366,0.1766437073104716,144000,91058.82352941176,True,34,34,2
64,4,2,0.9,0.996613085269928,0.610211193561554,0.01958472654223442,5.782440662384033,0.9373191516650351,0.16812884438114703,144000,96631.57894736843,True,38,38,2
64,4,2,0.95,0.9859763979911804,0.6900438666343689,0.007934567518532276,0.5658002495765686,0.8107893161830448,0.23172327949093327,144000,101142.85714285714,True,42,42,2
64,4,3,0.85,0.6197450757026672,0.5005984306335449,0.023728512227535248,0.062401607632637024,0.7380981539425097,0.17961448083945641,144000,96631.57894736843,True,38,38,2
64,4,3,0.9,0.9693666696548462,0.5271287560462952,0.014440187253057957,0.47138744592666626,0.92532020939721,0.08809609169069701,144000,104000.0,True,45,45,2
64,4,3,0.95,0.9125626087188721,0.6560044288635254,0.005359947681427002,0.061300523579120636,0.8548507137732072,0.11445349486690433,144000,111272.72727272728,True,55,55,2
64,4,4,0.85,0.7704715728759766,0.5017207860946655,0.020708240568637848,0.09022083133459091,0.7732943182899839,0.11868904052502173,144000,101142.85714285714,True,42,42,2
64,4,4,0.9,0.7829758524894714,0.5459518432617188,0.010658785700798035,0.04911339655518532,0.773232355187921,0.12373530313269937,144000,122823.5294117647,True,85,85,3
64,4,4,0.95,0.7914943695068359,0.7654411792755127,0.004393049515783787,0.021069252863526344,0.7897431009694149,0.1264845146582657,144000,125052.63157894737,True,95,95,3
64,8,1,0.85,0.0,1.0,0.03222861886024475,0.03222861886024475,0.0,0.0,8000,8000.0,True,12,12,1
64,8,1,0.9,0.0,1.0,0.02119838073849678,0.02119838073849678,0.0,0.0,8000,8000.0,True,12,12,1
64,8,1,0.95,0.0,1.0,0.008440149948000908,0.008440149948000908,0.0,0.0,8000,8000.0,True,12,12,1
64,8,2,0.85,0.9949501156806946,0.7513308525085449,0.021535860374569893,4.264614582061768,0.9725265973492673,0.06419755499207849,144000,96631.57894736843,True,38,38,2
64,8,2,0.9,0.9981127977371216,0.6893925070762634,0.011196068488061428,5.932627201080322,0.9932808762504941,0.0044249253218307145,144000,101142.85714285714,True,42,42,2
64,8,2,0.95,0.9985751509666443,0.8032443523406982,0.004461225587874651,3.1310768127441406,0.995436042547226,0.00477573099849296,144000,101142.85714285714,True,42,42,2
64,8,3,0.85,0.9903921484947205,0.5414502620697021,0.013771508820354939,1.4333640336990356,0.8873390886518691,0.11997341035489528,144000,104000.0,True,45,45,2
64,8,3,0.9,0.9992936253547668,0.6884353160858154,0.007590292952954769,10.745464324951172,0.9498009670864452,0.11078614856612001,144000,111272.72727272728,True,55,55,2
64,8,3,0.95,0.9985249638557434,0.8145092725753784,0.0024622881319373846,1.669291377067566,0.951444271477786,0.1031356259545107,144000,111272.72727272728,True,55,55,2
64,8,4,0.85,0.8646634817123413,0.6313408613204956,0.010261797346174717,0.07582435756921768,0.8095438142033184,0.25242259074577245,144000,122823.5294117647,True,85,85,3
64,8,4,0.9,0.9997366070747375,0.74299556016922,0.006209313403815031,23.57002830505371,0.793975160780706,0.32905588415389786,144000,125052.63157894737,True,95,95,3
64,8,4,0.95,0.9971826076507568,0.8473080396652222,0.0019073201110586524,0.6769965887069702,0.8724921384238099,0.22894181904338826,144000,125052.63157894737,True,95,95,3
64,16,1,0.85,0.0,1.0,0.0207217950373888,0.0207217950373888,0.0,0.0,8000,8000.0,True,12,12,1
64,16,1,0.9,0.0,1.0,0.011456889100372791,0.011456889100372791,0.0,0.0,8000,8000.0,True,12,12,1
64,16,1,0.95,0.0,1.0,0.004339622799307108,0.004339622799307108,0.0,0.0,8000,8000.0,True,12,12,1
64,16,2,0.85,0.9960594177246094,0.7852742671966553,0.01017171423882246,2.58127498626709,0.9851184430576506,0.029924289887918325,144000,101142.85714285714,True,42,42,2
64,16,2,0.9,0.9974548816680908,0.8545550107955933,0.005312884226441383,2.0874979496002197,0.9884713873976753,0.025842601728369958,144000,101142.85714285714,True,42,42,2
64,16,2,0.95,0.9904271960258484,0.9096304178237915,0.0007398469606414437,0.07728735357522964,0.8851428996948969,0.11341229310902946,144000,101142.85714285714,True,42,42,2
64,16,3,0.85,0.9984917044639587,0.8137303590774536,0.006492801941931248,4.304555416107178,0.8185897264968265,0.35450524037208614,144000,111272.72727272728,True,55,55,2
64,16,3,0.9,0.9944906830787659,0.8869261145591736,0.00325140287168324,0.590161919593811,0.7990034657784484,0.38397894136196364,144000,111272.72727272728,True,55,55,2
64,16,3,0.95,0.9339678287506104,0.9361796379089355,0.0003594153095036745,0.005443166941404343,0.7733431083202462,0.3700239925169128,144000,111272.72727272728,True,55,55,2
64,16,4,0.85,0.9762798547744751,0.8481868505477905,0.004447741899639368,0.18750973045825958,0.6871065679517806,0.4327523180099205,144000,125052.63157894737,True,95,95,3
64,16,4,0.9,0.9845501184463501,0.8828001618385315,0.0019265234004706144,0.12469567358493805,0.7276465786517873,0.41108529829623974,144000,125052.63157894737,True,95,95,3
64,16,4,0.95,0.9641618728637695,0.9416390061378479,0.0002445411228109151,0.006823749281466007,0.636155511095205,0.4054516598028362,144000,125052.63157894737,True,95,95,3
